Date,Open,High,Low,Close,Adj Close,Volume
2015-02-12,5.654150,5.693400,5.643450,5.686260,5.686260,6680617
2015-02-13,5.704100,5.807550,5.704100,5.775440,5.775440,16674730
2015-02-16,5.775440,5.893160,5.775440,5.889600,5.889600,10682432
2015-02-17,5.903870,5.943110,5.878890,5.918130,5.918130,9254223
2015-02-25,5.925270,5.957370,5.886030,5.903870,5.903870,15872444
2015-02-26,5.900300,5.978780,5.896730,5.975210,5.975210,16973040
2015-02-27,5.993050,6.035850,5.968080,6.035850,6.035850,12688107
2015-03-02,6.067960,6.167840,6.046560,6.164280,6.164280,17828351
2015-03-03,6.107200,6.214220,6.100070,6.121470,6.121470,31809008
2015-03-04,6.082230,6.242760,6.082230,6.239190,6.239190,25477209
2015-03-05,6.217790,6.239190,6.146440,6.224920,6.224920,20254864
2015-03-06,6.203520,6.239190,6.125040,6.135740,6.135740,22824215
2015-03-09,6.078660,6.239190,6.067960,6.239190,6.239190,18824331
2015-03-10,6.232060,6.306970,6.207080,6.274860,6.274860,10302323
2015-03-11,6.289130,6.289130,6.235620,6.271300,6.271300,11935592
2015-03-12,6.282000,6.289130,6.214220,6.264160,6.264160,16026218
2015-03-13,6.271300,6.342640,6.264160,6.342640,6.342640,15354996
2015-03-16,6.367610,6.549540,6.367610,6.545980,6.545980,17730801
2015-03-17,6.553110,6.670830,6.528140,6.635160,6.635160,25160749
2015-03-18,6.635160,6.752880,6.613760,6.738610,6.738610,24760941
2015-03-19,6.735040,6.806390,6.688670,6.806390,6.806390,16071794
2015-03-20,6.795690,6.877740,6.777850,6.867030,6.867030,26002941
2015-03-23,6.902710,7.141710,6.895570,7.131010,7.131010,16310372
2015-03-24,7.081070,7.098910,6.813520,7.066800,7.066800,22751588
2015-03-25,7.034700,7.184520,7.009730,7.131010,7.131010,17490631
2015-03-26,7.073940,7.205930,6.995460,7.073940,7.073940,12802082
2015-03-27,7.059670,7.213060,7.059670,7.188090,7.188090,17449517
2015-03-30,7.227330,7.345050,7.191660,7.312940,7.312940,15468810
2015-03-31,7.330780,7.366450,7.227330,7.284410,7.284410,11323887
2015-04-01,7.277270,7.509150,7.270140,7.473470,7.473470,9698340
2015-04-02,7.526980,7.626870,7.487740,7.605460,7.605460,8668496
2015-04-03,7.551950,7.730320,7.502010,7.719620,7.719620,16369053
2015-04-07,7.812370,8.201200,7.744590,7.915820,7.915820,18241192
2015-04-08,7.915820,7.980030,7.658970,7.801660,7.801660,13462516
2015-04-09,7.783830,7.798100,7.459200,7.762420,7.762420,44596948
2015-04-10,7.723180,8.022840,7.673240,8.001430,8.001430,10565522
2015-04-13,8.122720,8.122720,8.122720,8.122720,8.122720,0
2015-04-14,8.119800,8.119800,8.119800,8.119800,8.119800,0
2015-04-15,8.100000,8.100000,7.790000,7.818000,7.818000,26064505
2015-04-16,7.800000,7.960000,7.480000,7.887000,7.887000,17580610
2015-04-17,7.897000,8.000000,7.887000,7.941000,7.941000,31120583
2015-04-20,7.800000,8.009000,7.780000,7.821000,7.821000,13748664
2015-04-21,7.820000,8.110000,7.801000,8.100000,8.100000,84828189
2015-04-22,8.130000,8.368000,8.125000,8.350000,8.350000,16358122
2015-04-23,8.361000,8.452000,8.282000,8.403000,8.403000,14309041
2015-04-24,8.300000,8.467000,8.151000,8.432000,8.432000,17412005
2015-04-27,8.430000,8.597000,8.418000,8.524000,8.524000,9990009
2015-04-28,8.547000,8.600000,8.182000,8.269000,8.269000,16930018
2015-04-29,8.202000,8.469000,8.200000,8.449000,8.449000,12421478
2015-04-30,8.455000,8.585000,8.455000,8.503000,8.503000,7692198
2015-05-04,8.501000,8.581000,8.427000,8.561000,8.561000,7091154
2015-05-05,8.530000,8.530000,8.188000,8.240000,8.240000,28832605
2015-05-06,8.255000,8.422000,8.000000,8.099000,8.099000,30830792
2015-05-07,8.046000,8.108000,7.925000,7.929000,7.929000,13299405
2015-05-08,7.940000,8.721000,7.940000,8.280000,8.280000,21092992
2015-05-11,8.450000,8.716000,8.307000,8.714000,8.714000,20985082
2015-05-12,8.719000,8.897000,8.623000,8.816000,8.816000,19823050
2015-05-13,8.670000,8.970000,8.670000,8.897000,8.897000,12892251
2015-05-14,8.870000,8.924000,8.770000,8.862000,8.862000,8913055
2015-05-15,8.848000,8.869000,8.670000,8.812000,8.812000,12973970
2015-05-18,8.790000,8.996000,8.746000,8.979000,8.979000,10252076
2015-05-19,8.991000,9.280000,8.944000,9.207000,9.207000,16837082
2015-05-20,9.265000,9.548000,9.240000,9.363000,9.363000,20207071
2015-05-21,9.391000,9.798000,9.370000,9.788000,9.788000,23065474
2015-05-22,9.850000,10.000000,9.500000,9.921000,9.921000,33633443
2015-05-25,9.700000,10.140000,9.693000,10.101000,10.101000,14358136
2015-05-26,10.101000,10.550000,10.101000,10.503000,10.503000,25895325
2015-05-27,10.545000,10.729000,10.247000,10.619000,10.619000,22814614
2015-05-28,10.609000,10.735000,9.911000,9.933000,9.933000,19901333
2015-05-29,10.000000,10.420000,9.551000,10.136000,10.136000,25083263
2015-06-01,10.078000,10.880000,9.999000,10.778000,10.778000,45044038
2015-06-02,10.779000,11.070000,10.670000,11.064000,11.064000,210890899
2015-06-03,11.034000,11.190000,10.686000,10.989000,10.989000,112875851
2015-06-04,10.964000,11.088000,9.890000,11.010000,11.010000,282003936
2015-06-05,11.000000,11.289000,10.900000,11.268000,11.268000,41887486
2015-06-08,11.199000,11.199000,10.831000,11.042000,11.042000,30937801
2015-06-09,10.944000,11.118000,10.921000,11.105000,11.105000,17116924
2015-06-10,11.086000,11.550000,10.932000,11.290000,11.290000,13566858
2015-06-11,11.302000,11.588000,11.199000,11.500000,11.500000,9320186
2015-06-12,11.500000,11.990000,11.500000,11.700000,11.700000,9968633
2015-06-15,11.799000,11.820000,11.392000,11.434000,11.434000,10373760
2015-06-16,11.250000,11.300000,10.880000,10.985000,10.985000,15216960
2015-06-17,10.960000,11.500000,10.603000,11.230000,11.230000,26094600
2015-06-18,11.199000,11.278000,10.800000,10.844000,10.844000,11789172
2015-06-19,10.432000,10.672000,10.014000,10.141000,10.141000,30872843
2015-06-23,10.100000,10.171000,9.510000,10.139000,10.139000,108596534
2015-06-24,10.140000,10.351000,9.975000,10.298000,10.298000,35037401
2015-06-25,10.301000,10.410000,9.802000,9.977000,9.977000,21775992
2015-06-26,9.650000,9.850000,8.979000,8.979000,8.979000,15996864
2015-06-29,9.170000,9.299000,8.081000,8.454000,8.454000,63898623
2015-06-30,8.100000,9.142000,7.848000,9.095000,9.095000,102622238
2015-07-01,8.715000,9.111000,8.300000,8.362000,8.362000,51787933
2015-07-02,8.310000,8.570000,7.777000,8.000000,8.000000,271095150
2015-07-03,7.869000,7.990000,7.230000,7.409000,7.409000,438868240
2015-07-06,8.150000,8.150000,6.690000,7.409000,7.409000,1052645700
2015-07-07,7.200000,7.200000,6.668000,6.831000,6.831000,545928966
2015-07-08,6.148000,6.668000,6.148000,6.148000,6.148000,146024758
2015-07-09,5.901000,6.763000,5.901000,6.763000,6.763000,65094887
2015-07-10,7.180000,7.439000,6.963000,7.439000,7.439000,90096160
2015-07-13,7.757000,8.183000,7.500000,8.183000,8.183000,220199767
2015-07-14,7.800000,8.419000,7.800000,7.886000,7.886000,139388317
2015-07-15,7.800000,7.870000,7.163000,7.202000,7.202000,160074675
2015-07-16,7.110000,7.745000,6.951000,7.590000,7.590000,95922449
2015-07-17,7.660000,8.150000,7.628000,8.077000,8.077000,61022518
2015-07-20,8.073000,8.289000,7.940000,8.114000,8.114000,114078527
2015-07-21,7.960000,8.316000,7.900000,8.246000,8.246000,65820815
2015-07-22,8.232000,8.399000,8.110000,8.357000,8.357000,65524380
2015-07-23,8.366000,8.692000,8.336000,8.651000,8.651000,48471944
2015-07-24,8.702000,8.800000,8.390000,8.471000,8.471000,36115161
2015-07-27,8.259000,8.552000,7.710000,7.724000,7.724000,89498843
2015-07-28,7.600000,7.949000,7.320000,7.711000,7.711000,52541709
2015-07-29,7.750000,8.170000,7.515000,8.160000,8.160000,50008258
2015-07-30,8.067000,8.384000,7.800000,7.855000,7.855000,39453998
2015-07-31,7.788000,8.000000,7.693000,7.769000,7.769000,42175981
2015-08-03,7.692000,7.724000,7.382000,7.550000,7.550000,27720867
2015-08-04,7.610000,8.077000,7.551000,8.070000,8.070000,43440278
2015-08-05,8.000000,8.100000,7.850000,7.891000,7.891000,48567376
2015-08-06,7.755000,8.028000,7.578000,7.842000,7.842000,27588732
2015-08-07,7.951000,8.117000,7.924000,8.103000,8.103000,42530668
2015-08-10,8.201000,8.580000,8.130000,8.556000,8.556000,51329121
2015-08-11,8.500000,8.618000,8.415000,8.526000,8.526000,48749813
2015-08-12,8.418000,8.560000,8.378000,8.386000,8.386000,33685142
2015-08-13,8.386000,8.650000,8.300000,8.592000,8.592000,56782244
2015-08-14,8.725000,8.800000,8.611000,8.674000,8.674000,39592611
2015-08-17,8.640000,8.922000,8.624000,8.920000,8.920000,49014154
2015-08-18,8.931000,8.950000,8.049000,8.159000,8.159000,75766862
2015-08-19,7.903000,8.498000,7.745000,8.434000,8.434000,69406798
2015-08-20,8.301000,8.460000,8.080000,8.104000,8.104000,38709568
2015-08-21,8.031000,8.076000,7.670000,7.698000,7.698000,72140873
2015-08-24,7.400000,7.490000,6.928000,6.928000,6.928000,51764892
2015-08-25,6.571000,6.858000,6.235000,6.235000,6.235000,49028222
2015-08-26,6.235000,6.694000,6.137000,6.236000,6.236000,45011325
2015-08-27,6.400000,6.548000,6.100000,6.500000,6.500000,43011597
2015-08-28,6.615000,6.920000,6.481000,6.891000,6.891000,51362101
2015-08-31,6.825000,6.825000,6.570000,6.621000,6.621000,42278600
2015-09-01,6.500000,6.500000,6.160000,6.166000,6.166000,20087544
2015-09-02,5.850000,6.486000,5.760000,6.011000,6.011000,52556369
2015-09-07,6.168000,6.430000,6.112000,6.158000,6.158000,37480378
2015-09-08,6.050000,6.583000,6.015000,6.495000,6.495000,63466448
2015-09-09,6.517000,6.746000,6.484000,6.682000,6.682000,90498607
2015-09-10,6.609000,6.658000,6.500000,6.509000,6.509000,30491653
2015-09-11,6.509000,6.619000,6.432000,6.559000,6.559000,30302495
2015-09-14,6.571000,6.616000,5.903000,5.998000,5.998000,47148559
2015-09-15,5.900000,5.998000,5.697000,5.701000,5.701000,36963433
2015-09-16,5.731000,6.271000,5.726000,6.191000,6.191000,48025407
2015-09-17,6.167000,6.301000,6.030000,6.044000,6.044000,51709648
2015-09-18,6.021000,6.165000,5.956000,6.125000,6.125000,18987901
2015-09-21,6.040000,6.399000,6.000000,6.393000,6.393000,39301126
2015-09-22,6.412000,6.485000,6.300000,6.366000,6.366000,51246477
2015-09-23,6.243000,6.350000,6.208000,6.272000,6.272000,25606080
2015-09-24,6.298000,6.422000,6.286000,6.359000,6.359000,21237481
2015-09-25,6.305000,6.380000,6.080000,6.120000,6.120000,29010314
2015-09-28,6.192000,6.299000,6.063000,6.291000,6.291000,11890439
2015-09-29,6.150000,6.258000,6.142000,6.225000,6.225000,14783736
2015-09-30,6.230000,6.285000,6.182000,6.231000,6.231000,5978382
2015-10-08,6.550000,6.577000,6.420000,6.489000,6.489000,29331281
2015-10-09,6.470000,6.597000,6.434000,6.565000,6.565000,22121445
2015-10-12,6.617000,6.950000,6.617000,6.848000,6.848000,46229849
2015-10-13,6.755000,6.942000,6.748000,6.910000,6.910000,27127219
2015-10-14,6.903000,6.960000,6.808000,6.852000,6.852000,23162059
2015-10-15,6.830000,7.110000,6.825000,7.107000,7.107000,30212180
2015-10-16,7.143000,7.200000,7.050000,7.179000,7.179000,47452943
2015-10-19,7.200000,7.250000,7.094000,7.220000,7.220000,32735785
2015-10-20,7.209000,7.291000,7.110000,7.291000,7.291000,32371824
2015-10-21,7.299000,7.299000,6.821000,6.868000,6.868000,40579893
2015-10-22,6.930000,7.143000,6.850000,7.110000,7.110000,29186377
2015-10-23,7.090000,7.310000,7.081000,7.300000,7.300000,38339057
2015-10-26,7.340000,7.380000,7.220000,7.296000,7.296000,31605159
2015-10-27,7.226000,7.410000,7.001000,7.361000,7.361000,30648306
2015-10-28,7.261000,7.371000,7.100000,7.156000,7.156000,27286729
2015-10-29,7.193000,7.315000,7.107000,7.236000,7.236000,27166560
2015-10-30,7.236000,7.351000,7.105000,7.230000,7.230000,17878896
2015-11-02,7.180000,7.299000,7.061000,7.084000,7.084000,16899771
2015-11-03,7.091000,7.170000,7.018000,7.050000,7.050000,14473247
2015-11-04,7.076000,7.516000,7.076000,7.512000,7.512000,38911944
2015-11-05,7.499000,7.582000,7.412000,7.490000,7.490000,25518568
2015-11-06,7.460000,7.721000,7.460000,7.673000,7.673000,34024754
2015-11-09,7.630000,7.810000,7.557000,7.763000,7.763000,29958832
2015-11-10,7.701000,7.841000,7.682000,7.768000,7.768000,27641616
2015-11-11,7.765000,7.924000,7.710000,7.922000,7.922000,16446362
2015-11-12,7.924000,7.980000,7.801000,7.946000,7.946000,18378277
2015-11-13,7.840000,7.945000,7.664000,7.783000,7.783000,12386974
2015-11-16,7.680000,7.981000,7.611000,7.979000,7.979000,13161475
